x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,STN_ID
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.8.2,2017-08-02 00:00:00,ON,2017,8,2,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.8.3,2017-08-03 00:00:00,ON,2017,8,3,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.8.4,2017-08-04 00:00:00,ON,2017,8,4,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.8.5,2017-08-05 00:00:00,ON,2017,8,5,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.8.6,2017-08-06 00:00:00,ON,2017,8,6,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.8.7,2017-08-07 00:00:00,ON,2017,8,7,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.8.8,2017-08-08 00:00:00,ON,2017,8,8,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.8.9,2017-08-09 00:00:00,ON,2017,8,9,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.8.10,2017-08-10 00:00:00,ON,2017,8,10,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.8.11,2017-08-11 00:00:00,ON,2017,8,11,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.8.12,2017-08-12 00:00:00,ON,2017,8,12,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.8.13,2017-08-13 00:00:00,ON,2017,8,13,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.8.14,2017-08-14 00:00:00,ON,2017,8,14,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.8.15,2017-08-15 00:00:00,ON,2017,8,15,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.8.16,2017-08-16 00:00:00,ON,2017,8,16,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.8.17,2017-08-17 00:00:00,ON,2017,8,17,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.8.18,2017-08-18 00:00:00,ON,2017,8,18,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.8.19,2017-08-19 00:00:00,ON,2017,8,19,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.8.20,2017-08-20 00:00:00,ON,2017,8,20,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.8.21,2017-08-21 00:00:00,ON,2017,8,21,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.8.22,2017-08-22 00:00:00,ON,2017,8,22,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.8.23,2017-08-23 00:00:00,ON,2017,8,23,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.8.24,2017-08-24 00:00:00,ON,2017,8,24,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.8.25,2017-08-25 00:00:00,ON,2017,8,25,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.8.26,2017-08-26 00:00:00,ON,2017,8,26,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.8.27,2017-08-27 00:00:00,ON,2017,8,27,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.8.28,2017-08-28 00:00:00,ON,2017,8,28,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.8.29,2017-08-29 00:00:00,ON,2017,8,29,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.8.30,2017-08-30 00:00:00,ON,2017,8,30,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.8.31,2017-08-31 00:00:00,ON,2017,8,31,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.9.1,2017-09-01 00:00:00,ON,2017,9,1,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.9.2,2017-09-02 00:00:00,ON,2017,9,2,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.9.3,2017-09-03 00:00:00,ON,2017,9,3,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.9.4,2017-09-04 00:00:00,ON,2017,9,4,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.9.5,2017-09-05 00:00:00,ON,2017,9,5,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.9.6,2017-09-06 00:00:00,ON,2017,9,6,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.9.7,2017-09-07 00:00:00,ON,2017,9,7,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.9.8,2017-09-08 00:00:00,ON,2017,9,8,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.9.9,2017-09-09 00:00:00,ON,2017,9,9,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.9.10,2017-09-10 00:00:00,ON,2017,9,10,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.9.11,2017-09-11 00:00:00,ON,2017,9,11,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.9.12,2017-09-12 00:00:00,ON,2017,9,12,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.9.13,2017-09-13 00:00:00,ON,2017,9,13,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.9.14,2017-09-14 00:00:00,ON,2017,9,14,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.9.15,2017-09-15 00:00:00,ON,2017,9,15,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.9.16,2017-09-16 00:00:00,ON,2017,9,16,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.9.17,2017-09-17 00:00:00,ON,2017,9,17,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.9.18,2017-09-18 00:00:00,ON,2017,9,18,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.9.19,2017-09-19 00:00:00,ON,2017,9,19,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.9.20,2017-09-20 00:00:00,ON,2017,9,20,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.9.21,2017-09-21 00:00:00,ON,2017,9,21,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.9.22,2017-09-22 00:00:00,ON,2017,9,22,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.9.23,2017-09-23 00:00:00,ON,2017,9,23,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.9.24,2017-09-24 00:00:00,ON,2017,9,24,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.9.25,2017-09-25 00:00:00,ON,2017,9,25,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.9.26,2017-09-26 00:00:00,ON,2017,9,26,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.9.27,2017-09-27 00:00:00,ON,2017,9,27,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.9.28,2017-09-28 00:00:00,ON,2017,9,28,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.9.29,2017-09-29 00:00:00,ON,2017,9,29,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.9.30,2017-09-30 00:00:00,ON,2017,9,30,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.10.1,2017-10-01 00:00:00,ON,2017,10,1,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.10.2,2017-10-02 00:00:00,ON,2017,10,2,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.10.3,2017-10-03 00:00:00,ON,2017,10,3,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.10.4,2017-10-04 00:00:00,ON,2017,10,4,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.10.5,2017-10-05 00:00:00,ON,2017,10,5,,,,,,,,,,,,,,,,,,,,,,,,,4831
